Artist,Title,Album,Genre,File ID
Lonnie Liston Smith,Expansions,Mastercuts: Classic Jazz-Funk 01,Jazz,362.wav
Ronnie Laws,Always There,Mastercuts: Classic Jazz-Funk 01,Jazz,363.wav
Wes Montgomery,Far Wes,Blue Jazz Guitar CD2,Jazz,364.wav
Django Reinhardt,Nuits de Saint-Germain-des-pres,Blue Jazz Guitar CD2,Jazz,365.wav
Fats Navarro,Good Bait,Blowing At The Royal Roost,Jazz,366.wav
 Dizzy Gillespie,The Heat's On,First Class Jazz,Jazz,367.wav
Azymuth,Jazz Carnival,Mastercuts: Classic Jazz-Funk 01,Jazz,368.wav
Tal Farlow,Yardbird Suite,Blue Jazz Guitar CD2,Jazz,369.wav
Bill Evans,Some Other Time,Waltz for Debby,Jazz,370.wav
Wes Montgomery,Fingerpickin‰Ûª,Blue Jazz Guitar CD2,Jazz,371.wav
Herb Ellis,Soft Winds,Blue Jazz Guitar CD2,Jazz,372.wav
Charlie Byrd,Moonlight In Vermont,Blue Jazz Guitar CD2,Jazz,373.wav
Stan Getz & Joao Gilberto,Desafinado,The Chillout Album Vol.3 - CD2,Jazz,374.wav
Django Reinhardt,Insensiblement,Blue Jazz Guitar CD2,Jazz,375.wav
Ray Bryant,A Hundred Dreams from Now,A Hundred Dreams from Now,Jazz,376.wav
"Stan Getz, Bob Brookmeyer",A Nightingale Sang In Berkeley Square,More Stan Getz For Lovers,Jazz,377.wav
Etta James,A Sunday Kind Of Love - Single Version,At Last!,Jazz,378.wav
Fats Waller,Ain't Misbehavin,1934-1943 - Ain't Misbehavin,Jazz,379.wav
Dizzy Gillespie,All The Things You Are,Odyssey 1945-1952,Jazz,380.wav
Art Blakey,Along Came Betty,Along Came Betty,Jazz,381.wav
"Tommy Flanagan, Ron Carter & Tony Williams",Angel Eyes,The Trio,Jazz,382.wav
Art Blakey & The Jazz Messengers,Moanin',The Best of Art Blakey,Jazz,383.wav
Art Tatum,Tiger Rag,The Piano Starts Here,Jazz,384.wav
Grace Kelly,Ballad for MC,Trying to Figure It Out,Jazz,385.wav
Artie Shaw,Begin The Beguine,The Essential Artie Shaw,Jazz,386.wav
Weather Report,Birdland,Heavy Weather,Jazz,387.wav
Keith Jarrett,Birth,Les Incontournables du Jazz,Jazz,388.wav
Dan Robinson,Blue Monk,Keep Cool with Jazz Classics Vol.2 (The Greatest Classic Jazz & Calm Jazz Moods),Jazz,389.wav
Chuck Wayne,Blue Serge,Jazz Guitar Legends,Jazz,390.wav
Buddy Rich,Straight No Chaser,Time Being,Jazz,391.wav
Herbie Hancock,Cantaloupe Island,Cantaloupe Island,Jazz,392.wav
Herbie Hancock,Chameleon,Head Hunters,Jazz,393.wav
Charles Mingus,Jelly Roll,Mingus Ah Um,Jazz,394.wav
Charlie Parker,Lover Man,The Bird,Jazz,395.wav
"Ella Fitzgerald, Louis Armstrong",Cheek To Cheek,ELLA & LOUIS The Very Best Of Ella Fitzgerald & Louis Armstrong,Jazz,396.wav
"Jaco Pastorius, Peter LÌ_bke, BirÌ©li LagrÌ¬ne",Chicken,Broadway Blues,Jazz,397.wav
"Stan Getz, JoÌ£o Gilberto, Astrud Gilberto, AntÌ«nio Carlos Jobim",Corcovado - Quiet Nights Of Quiet Stars,Getz/Gilberto (Expanded Edition),Jazz,398.wav
Freddie Hubbard,Dedicated To You,The Body & The Soul,Jazz,399.wav
Hank Mobley Quartet,Don't Walk (Remastered),Hard Bop Classics,Jazz,400.wav
Ibrahim Maalouf,Doubts 2,Wind,Jazz,401.wav
David Halliday,Dreamsville,Dreamsville,Jazz,402.wav
Marcos Valle,Ele E Ela,Bis Bossa Nova - Marcos Valle,Jazz,403.wav
Miles Davis,Flamenco Sketches,Kind Of Blue (Legacy Edition),Jazz,404.wav
Teddy Wilson,Fools Rush In,The Noble Art Of Teddy Wilson,Jazz,405.wav
Wayne Shorter,Footprints,The Best Of Wayne Shorter,Jazz,406.wav
Wes Montgomery,Four On Six,Incredible Jazz Guitar,Jazz,407.wav
Miles Davis,Freddie Freeloader,Kind Of Blue (Legacy Edition),Jazz,408.wav
Art Blakey & The Jazz Messengers,Free For All,Hard Bop Classics,Jazz,409.wav
Bill Evans,Gary's Theme - Remastered,You Must Believe In Spring (US & International Release),Jazz,410.wav
John Coltrane,Giant Steps,The Very Best Of John Coltrane,Jazz,411.wav
Dan Cray Trio,Good Morning.Goodbye,Save US,Jazz,412.wav
Charles Mingus,Goodbye Pork Pie Hat,Ah Um,Jazz,413.wav
Dizzy Gillespie,Groovin' High,Absolutely The Best: Dizzy Gillespie,Jazz,414.wav
Hank Mobley,Dig dis,Soul Station,Jazz,415.wav
Herbie Hancock,Dolphin Dance,Dedication,Jazz,416.wav
"Colton Weatherston, Dave Bennett, Evan Peri, Julien Labro, Paul Brady, Shannon Wade",Honeysuckle Rose,Hot Club Of Detroit,Jazz,417.wav
Earl Hines,I Ain't Got Nobody,Jazzuela. Julio CortÌÁzar y el Jazz,Jazz,418.wav
Oscar Peterson Trio,I Got It Bad And That Ain't Good,Night Train (Expanded Edition),Jazz,419.wav
Chet Baker,If You Could See Me Now,Chet [Keepnews Collection],Jazz,420.wav
"Duke Ellington, John Coltrane",In A Sentimental Mood,Duke Ellington & John Coltrane,Jazz,421.wav
Wes Montgomery,In Your Own Sweet Way,Wes Montgomery Plays For Lovers,Jazz,422.wav
Joe Jackson,"Jack, You're Dead!",Jumpin' Jive,Jazz,423.wav
John Coltrane,Acknowledgement,A Love Supreme,Jazz,424.wav
George Benson,Just One Of Those Things,Inspiration (A Tribute To Nat King Cole),Jazz,425.wav
Quincy Jones,Let The Good Times Roll,Q's Jook Joint,Jazz,426.wav
Ann Hampton Callaway,Let's Fall In Love,To Ella With Love,Jazz,427.wav
Yusef Lateef,Like It Is - Remastered,The Blue Yusef Lateef,Jazz,428.wav
Idris Muhammad,Loran's Dance,Power Of Soul,Jazz,429.wav
Cannonball Adderley,Love For Sale,Somethin' Else (Rudy Van Gelder Edition),Jazz,430.wav
Bunk Johnson,Low Down Blues,Masters of Classic Jazz: Dixieland,Jazz,431.wav
Dizzy Gillespie,Manteca - 1994 Remastered,The Complete RCA Victor Recordings,Jazz,432.wav
Yellowjackets,Matinee Idol,Yellowjackets,Jazz,433.wav
Kenny Burrell,Midnight Blue,Hard Bop Classics,Jazz,434.wav
Miles Davis,Blue In Green,Kind Of Blue,Jazz,435.wav
Scott Hamilton,Min Soldat (My Soldier),Swedish Ballads... & More,Jazz,436.wav
Stan Getz,Misty,Sony Jazz Collection,Jazz,437.wav
"Branford Marsalis Quartet, Terence Blanchard",Mo' Better Blues,MUSIC FROM MO' BETTER BLUES,Jazz,438.wav
Charles Mingus,Moanin',Blues & Roots,Jazz,439.wav
"Louis Armstrong, Duke Ellington",Mood Indigo,The Complete Louis Armstrong - Duke Ellington Sessions,Jazz,440.wav
Wynton Marsalis,Much Later,J Mood,Jazz,441.wav
Bill Evans Trio,My Foolish Heart,Waltz For Debby [Original Jazz Classics Remasters] (OJC Remaster),Jazz,442.wav
"Duke Ellington, John Coltrane",My Little Brown Book,Duke Ellington & John Coltrane,Jazz,443.wav
Chick Corea,My One And Only Love - Digitally Remastered,The Best Of Chick Corea,Jazz,444.wav
Gene Ammons,My Romance,Boss Tenor,Jazz,445.wav
Lonnie Liston Smith,Mystic Woman,Dreams Of Tomorrow,Jazz,446.wav
Arthur Verocai,Na Boca do Sol,Arthur Verocai,Jazz,447.wav
John Coltrane,Naima,Giant Steps (Deluxe Edition),Jazz,448.wav
Horace Silver Quintet,Nutville,Hard Bop Classics,Jazz,449.wav
"Xavier Davis, Carl Allen, Dwayne Burno",Old Folks,Dance of Life,Jazz,450.wav
Miles Davis,On Green Dolphin Street,Kind Of Blue (Legacy Edition),Jazz,451.wav
John Coltrane,Paul's Pal,The Believer,Jazz,452.wav
Bud Powell,Polka Dots And Moonbeams - 1998 Digital Remaster,The Amazing Bud Powell: Vol. 2 (The Rudy Van Gelder Edition),Jazz,453.wav
"Thelonious Monk, John Coltrane","Ruby, My Dear",Thelonious Monk with John Coltrane (OJC Remaster),Jazz,454.wav
The Cannonball Adderley Quintet,Sack O' Woe (Remix) [Live],Hard Bop Classics,Jazz,455.wav
Art Tatum,Smoke Gets in Your Eyes,130 Most Beautiful Jazz Standards Ever (Instrumental Version for Jazz Lovers),Jazz,456.wav
John Moulder,Soul in Twilight,Earthborn Tales of Soul and Spirit,Jazz,457.wav
The Dave Brubeck Quartet,Strange Meadow Lark,Time Out,Jazz,458.wav
"Louis Armstrong, Ella Fitzgerald",Summertime,Porgy And Bess,Jazz,459.wav
"Walter Page, Buck Clayton, Buster Smith, Count Basie, Dan Minor, Earl Warren, Ed Lewis, Eddie Durham, Freddie Green, George Hunt, Herschel Evans, Jack Washington, Jo Jones, Lester Young, Bobby Moore",Swinging The Blues: Topsy,Count Basie: Swinging the Blues,Jazz,460.wav
The Dave Brubeck Quartet,Take Five,Time Out,Jazz,461.wav
Dave Brubeck,Take Five,On Time,Jazz,462.wav
Joshua Redman,The Folks Who Live on the Hill,Walking Shadows,Jazz,463.wav
"Stan Getz, JoÌ£o Gilberto, Astrud Gilberto",The Girl From Ipanema - Stereo Version,Getz/Gilberto (Expanded Edition),Jazz,464.wav
Nicholas Payton,The Last Goodbye,Payton's Place,Jazz,465.wav
Marcus Roberts,The Man I Love,Gershwin For Lovers,Jazz,466.wav
Quincy Jones,The Midnight Sun Will Never Set,I Dig Dancers,Jazz,467.wav
"Anthony Wonsey Trio, Richie Goods, Tony Reedus",The Peacocks,Blues For Hiroshi,Jazz,468.wav
"Chris Botti, Paula Cole",The Very Thought Of You,Italia,Jazz,469.wav
John Tesh,The Way You Look Tonight,Big Band,Jazz,470.wav
John Coltrane,Time After Time,The Very Best Of Jazz - John Coltrane,Jazz,471.wav
Roy Hargrove,Trust,Nothing Serious,Jazz,472.wav
Alice Coltrane,Turiya & Ramakrishna,Ptah The El Daoud,Jazz,473.wav
Wynton Marsalis,When It's Sleepytime Down South,Standards & Ballads,Jazz,474.wav
McCoy Tyner,When Sunny Gets Blue,Today And Tomorrow,Jazz,475.wav
Brad Mehldau Trio,Where Do You Start,Where Do You Start,Jazz,476.wav
"Charlie Parker, Miles Davis",Yardbird Suite,"Charlie Parker, Miles Davis & Friends",Jazz,477.wav
Michael BublÌ©,You Make Me Feel So Young,To Be Loved,Jazz,478.wav
Bill Evans Trio,Young and Foolish,Everybody Digs Bill Evans,Jazz,479.wav
Phoenix,1901,Wolfgang Amadeus Phoenix,Rock,480.wav
The Beatles,A Day In The Life - Remastered,Sgt. Pepper's Lonely Hearts Club Band (Remastered),Rock,481.wav
Vampire Weekend,A-Punk,Vampire Weekend,Rock,482.wav
AC/DC,Danger,Fly On the Wall,Rock,483.wav
AC/DC,You Shook Me All Night Long,Who Made Who,Rock,484.wav
LCD Soundsystem,All My Friends,Sound Of Silver,Rock,485.wav
Jethro Tull,Aqualung,Aqualung,Rock,486.wav
The Shins,Australia,Wincing The Night Away,Rock,487.wav
The Who,Baba O'Riley,Who's Next (Deluxe Edition),Rock,488.wav
King Krule,Baby Blue,6 Feet Beneath The Moon,Rock,489.wav
Future Islands,Balance,On the Water,Rock,490.wav
Bloc Party,Banquet,Silent Alarm (U.S. Version),Rock,491.wav
Beach Fossils,Adversity,What A Pleasure,Rock,492.wav
Beach House,Lover Of Mine,Teen Dream,Rock,493.wav
Queen,Bohemian Rhapsody,A Night At The Opera (Deluxe Remastered Version),Rock,494.wav
Best Coast,Boyfriend,Crazy For You,Rock,495.wav
The Mamas & The Papas,California Dreamin' - Single Version,If You Can Believe Your Eyes & Ears,Rock,496.wav
Built To Spill,Carry The Zero,Keep It Like A Secret,Rock,497.wav
Cage The Elephant,Cigarette Daydreams,Melophobia,Rock,498.wav
The Cure,Close To Me - Remastered,The Head On The Door,Rock,499.wav
David Bowie,Let's Dance (Single Version),Nothing Has Changed The Very Best of Bowie (CD2),Rock,500.wav
Matt and Kim,Daylight,Grand,Rock,501.wav
Deerhunter,Snow Dogs,Carve Your Initials Into The Wall Of The Night (EP),Rock,502.wav
Arctic Monkeys,Do I Wanna Know?,AM,Rock,503.wav
Steely Dan,Do It Again,Can't Buy A Thrill,Rock,504.wav
The Flaming Lips,Do You Realize??,Yoshimi Battles The Pink Robots (U.S. Version),Rock,505.wav
Aerosmith,Dream On,Aerosmith,Rock,506.wav
Beck,E-Pro,Guero,Rock,507.wav
King Krule,Easy Easy,6 Feet Beneath The Moon,Rock,508.wav
MGMT,Electric Feel,Oracular Spectacular,Rock,509.wav
Tame Impala,Eventually,Currents,Rock,510.wav
Electric Light Orchestra,Evil Woman,The Essential Electric Light Orchestra,Rock,511.wav
Dinosaur Jr.,Feel The Pain - 2007 Remastered Version,Without A Sound,Rock,512.wav
Best Coast,Feeling Ok,California Nights,Rock,513.wav
The White Stripes,Fell In Love With A Girl,White Blood Cells,Rock,514.wav
Modest Mouse,Float On,Good News For People Who Love Bad News,Rock,515.wav
Surfer Blood,Floating Vibes,Astro Coast,Rock,516.wav
Foo Fighters,Best of You,In Your Honor,Rock,517.wav
Creedence Clearwater Revival,Fortunate Son,Willy And The Poor Boys (40th Anniversary Edition),Rock,518.wav
"Emerson, Lake & Palmer",From the Beginning,Trilogy,Rock,519.wav
The Rapture,Get Myself Into It,Pieces Of The People We Love,Rock,520.wav
Beck,Girl,Guero,Rock,521.wav
Cults,Go Outside,Cults,Rock,522.wav
Fleetwood Mac,Go Your Own Way - 2004 Remastered Edition,Rumours (Super Deluxe),Rock,523.wav
Guns N' Roses,Chinese Democracy,Chinese Democracy,Rock,524.wav
Guns N' Roses,Dont Cry,Greatest Hits,Rock,525.wav
My Morning Jacket,Holdin On To Black Metal,Circuital,Rock,526.wav
Foxygen,How Can You Really,‰Û_And Star Power,Rock,527.wav
DIIV,How Long Have You Known,Oshin,Rock,528.wav
Melody's Echo Chamber,I Follow You,Melody's Echo Chamber,Rock,529.wav
Real Estate,It's Real,Days,Rock,530.wav
The Strokes,Last Nite,Is This It,Rock,531.wav
Tame Impala,Let It Happen,Currents,Rock,532.wav
The Drums,Lets Go Surfing,The Drums,Rock,533.wav
Phoenix,Lisztomania,Wolfgang Amadeus Phoenix,Rock,534.wav
Passion Pit,Little Secrets,Manners,Rock,535.wav
Beck,Loser,Mellow Gold,Rock,536.wav
Joy Division,Love Will Tear Us Apart - 2010 Remastered Version,Substance,Rock,537.wav
The Beatles,Lucy In The Sky With Diamonds - Remastered,Sgt. Pepper's Lonely Hearts Club Band (Remastered),Rock,538.wav
Mac Demarco,Let Her Go,Salad Days,Rock,539.wav
Mac Demarco,Salad Days,Salad Days,Rock,540.wav
The Police,Message In A Bottle - Remastered 2003,Reggatta De Blanc,Rock,541.wav
Pink Floyd,Money,The Dark Side of the Moon,Rock,542.wav
Unknown Mortal Orchestra,Multi-Love,Multi-Love,Rock,543.wav
Muse,Knights of Cydonia,Black Holes and Revelations,Rock,544.wav
!!!,Must Be The Moon,Myth Takes,Rock,545.wav
The Who,My Generation - Stereo Version,My Generation,Rock,546.wav
Fleet Foxes,Mykonos,Sun Giant,Rock,547.wav
The Kooks,Naive,Inside In / Inside Out,Rock,548.wav
Nirvana,Dumb,In Utero,Rock,549.wav
Best Coast,Our Deal,Crazy For You,Rock,550.wav
The Rolling Stones,Paint It Black - (Original Single Mono Version),The Rolling Stones Singles Collection: The London Years (Remastered),Rock,551.wav
Black Sabbath,Paranoid - 2009 Remastered Version,We Sold Our Soul for Rock 'n' Roll,Rock,552.wav
!!!,Pardon My Freedom,Louden Up Now,Rock,553.wav
The Rapture,Pieces Of The People We Love,Pieces Of The People We Love,Rock,554.wav
Pink Floyd,Time,Dark Side Of The Moon ,Rock,555.wav
Radiohead,Creep (radio edit),Pablo Honey,Rock,556.wav
Radiohead,Karma Police,OK Computer,Rock,557.wav
The Allman Brothers Band,Ramblin' Man,Brothers And Sisters (Deluxe Edition),Rock,558.wav
Real Estate,Talking Backwards,Kupak's 2014 Top 50,Rock,559.wav
Arcade Fire,Rebellion (Lies),Funeral,Rock,560.wav
The War On Drugs,Red Eyes,Lost In The Dream,Rock,561.wav
Steely Dan,Reelin' In The Years,Can't Buy A Thrill,Rock,562.wav
Deerhunter,Revival,Halcyon Digest,Rock,563.wav
Sleigh Bells,Rill Rill,Treats,Rock,564.wav
KISS,Rock And Roll All Nite,Dressed To Kill (Remastered Version),Rock,565.wav
Elton John,Rocket Man (I Think It's Going To Be A Long Long Time),Honky Chateau (Remastered),Rock,566.wav
The Rolling Stones ,I'm Not Signifying,Exile On Main Street,Rock,567.wav
Yes,Roundabout - Remastered Version,Fragile (Deluxe Version),Rock,568.wav
The Police,Roxanne - Remastered 2003,Outlandos D'Amour,Rock,569.wav
Tom Petty and the Heartbreakers,Runnin' Down A Dream,Anthology: Through The Years,Rock,570.wav
The White Stripes,Seven Nation Army,Elephant,Rock,571.wav
The Flaming Lips,She Don't Use Jelly,Transmissions From The Satellite Heart,Rock,572.wav
Deep Purple,Smoke On The Water,Machine Head,Rock,573.wav
The Strokes,Someday,Is This It,Rock,574.wav
The Rolling Stones,Start Me Up - Remastered 2009,Tattoo You (2009 Re-Mastered),Rock,575.wav
Cream,Sunshine Of Your Love,Disraeli Gears (Remastered),Rock,576.wav
Guns N' Roses,Sweet Child O' Mine,Appetite For Destruction,Rock,577.wav
Passion Pit,Take a Walk,Gossamer,Rock,578.wav
Tame Impala,The Less I Know The Better,Currents,Rock,579.wav
The Beach Boys,Feel Flows,Surf's Up,Rock,580.wav
Built To Spill,The Plan,Keep It Like A Secret,Rock,581.wav
Arcade Fire,The Suburbs,The Suburbs,Rock,582.wav
Modest Mouse,The World At Large,Good News For People Who Love Bad News,Rock,583.wav
The Black Keys,Tighten Up,Brothers (Deluxe Edition),Rock,584.wav
Rush,Tom Sawyer,Moving Pictures (2011 Remaster),Rock,585.wav
Electric Light Orchestra,Turn to Stone,Out of the Blue,Rock,586.wav
Grizzly Bear,Two Weeks,Veckatimest,Rock,587.wav
Unknown Mortal Orchestra,Can‰Ûªt Keep Checking My Phone,Multi-Love,Rock,588.wav
Smith Westerns,Weekend,Dye It Blonde,Rock,589.wav
Guns N' Roses,Welcome To The Jungle,Appetite For Destruction,Rock,590.wav
The Killers,When You Were Young,Sam's Town,Rock,591.wav
Fleet Foxes,White Winter Hymnal,Fleet Foxes,Rock,592.wav
Local Natives,Wide Eyes,Gorilla Manor,Rock,593.wav
U2,With Or Without You,The Joshua Tree (Deluxe),Rock,594.wav
TV On The Radio,Wolf Like Me,Return To Cookie Mountain,Rock,595.wav
Wolfmother,Woman,Wolfmother,Rock,596.wav
Grizzly Bear,Yet Again,Shields,Rock,597.wav
Cults,You Know What I Mean,Cults,Rock,598.wav
Peter Bjorn and John,Young Folks,Writer's Block,Rock,599.wav
